# Fisher matrix for Planck TT, TE, EE,
# which matches the "TT, TE, EE + lowP" in Planck parameters XIII 2015 (table 3).
# Parameters are:
# 'Omega_cdm', 'Omega_b', 'A_s', 'n_s', 'h', 'tau_reio', 'm_nu', 'w_0', 'w_a', 'Omega_k'
7.324717622759118676e+06 -1.410223035440070741e+07 -6.376220714873252500e+14 -7.130407160169373965e+05 3.669209435117171146e+06 2.801422396802001633e+06 3.347961658584147226e+05 1.086259610422076425e+06 3.013470943238363834e+05 -1.701927746622572839e+07
-1.410223035440070927e+07 6.395900433914586157e+07 5.743765751320235000e+14 1.922960406750298338e+06 -9.378910601064119488e+06 -2.522747663347219117e+06 -8.584286664788337657e+05 -2.794284156636958010e+06 -7.733531695226153824e+05 4.360102550672810525e+07
-6.376220714873252500e+14 5.743765751320235000e+14 1.892576909890717022e+23 2.129345095548076562e+14 -2.074437904258562188e+14 -8.315188786378392500e+14 -1.741863194693054102e+13 -6.185978150522916406e+13 -1.700819054077530078e+13 9.949309893453556250e+14
-7.130407160169373965e+05 1.922960406750298338e+06 2.129345095548076562e+14 4.710544391307252226e+05 -3.756749763100311393e+05 -9.372488833382505691e+05 -3.241941626941458890e+04 -1.120561067274429079e+05 -3.083734234449297583e+04 1.803030580112074502e+06
3.669209435117171146e+06 -9.378910601064119488e+06 -2.074437904258562188e+14 -3.756749763100311393e+05 2.087614692560907919e+06 9.120033171662831446e+05 1.916389977550888143e+05 6.180198134893445531e+05 1.715110184342626599e+05 -9.671317446985628456e+06
2.801422396802001633e+06 -2.522747663347219117e+06 -8.315188786378392500e+14 -9.372488833382505691e+05 9.120033171662831446e+05 3.673845285874526016e+06 7.658251296266658755e+04 2.719641710702630808e+05 7.477608703940316627e+04 -4.374004059916254133e+06
3.347961658584147226e+05 -8.584286664788337657e+05 -1.741863194693054102e+13 -3.241941626941458890e+04 1.916389977550888143e+05 7.658251296266658755e+04 1.761106260903409930e+04 5.672538863714643230e+04 1.574439873554501173e+04 -8.873573732194837648e+05
1.086259610422076425e+06 -2.794284156636958010e+06 -6.185978150522916406e+13 -1.120561067274429079e+05 6.180198134893445531e+05 2.719641710702630808e+05 5.672538863714643230e+04 1.832059896188937419e+05 5.081617718039592000e+04 -2.863648283969344571e+06
3.013470943238363834e+05 -7.733531695226153824e+05 -1.700819054077530078e+13 -3.083734234449297583e+04 1.715110184342626599e+05 7.477608703940316627e+04 1.574439873554501173e+04 5.081617718039592000e+04 1.409812173675291706e+04 -7.945477091038472718e+05
-1.701927746622572839e+07 4.360102550672810525e+07 9.949309893453556250e+14 1.803030580112074502e+06 -9.671317446985628456e+06 -4.374004059916254133e+06 -8.873573732194837648e+05 -2.863648283969344571e+06 -7.945477091038472718e+05 4.484636703160784394e+07
